"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",1
"14",0
"15",1
"16",1
"17",1
"18",1
"19",1
"20",0
"21",1
"22",0
"23",0
"24",1
"25",1
"26",0
"27",1
"28",1
"29",1
"30",1
"31",1
"32",0
"33",0
"34",0
"35",1
"36",1
"37",0
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",0
"45",1
"46",0
"47",0
"48",0
"49",0
"50",0
"51",1
"52",0
"53",0
"54",0
"55",1
"56",1
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",1
"65",1
"66",1
"67",0
"68",1
"69",1
"70",1
"71",1
"72",1
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1
"80",1
"81",1
"82",0
"83",1
"84",0
"85",1
"86",0
"87",1
"88",0
"89",0
"90",1
"91",1
"92",0
"93",1
"94",1
"95",0
"96",0
"97",0
"98",1
"99",1
"100",1
"101",1
"102",0
"103",0
"104",0
"105",0
"106",1
"107",0
"108",1
"109",1
"110",0
"111",1
"112",0
"113",0
"114",1
"115",1
"116",1
"117",0
"118",0
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",0
"132",1
"133",1
"134",0
"135",1
"136",1
"137",1
"138",1
"139",1
"140",0
"141",1
"142",1
"143",0
"144",0
"145",1
"146",1
"147",0
"148",1
"149",0
"150",0
"151",0
"152",0
"153",0
"154",1
"155",1
"156",1
"157",1
"158",0
"159",1
"160",1
"161",0
"162",1
"163",0
"164",0
"165",1
"166",0
"167",0
"168",1
"169",1
"170",0
"171",1
"172",1
"173",1
"174",0
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",0
"182",1
"183",0
"184",1
"185",1
"186",1
"187",0
"188",0
"189",1
"190",1
"191",1
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",1
"200",1
"201",0
"202",0
"203",1
"204",1
"205",0
"206",1
"207",0
"208",0
"209",1
"210",0
"211",1
"212",0
"213",0
"214",1
"215",0
"216",0
"217",1
"218",1
"219",0
"220",1
"221",1
"222",1
"223",1
"224",0
