"","V1","V2"
"1","4.004487179487180e-04","3.836858974358974e-04"
"2","5.547284644194756e-04","5.362359550561798e-04"
"3","1.852228682170543e-04","1.706395348837209e-04"
"4","5.429924242424242e-04","5.307765151515151e-04"
"5","7.214824120603015e-04","7.246231155778895e-04"
"6","1.230752595155709e-04","1.248161764705883e-04"
"7","1.098020186335404e-04","1.059879658385093e-04"
"8","9.206946222791294e-05","9.224551856594111e-05"
"9","4.231521739130435e-04","4.068115942028986e-04"
"10","9.388931591083781e-05","9.740584166026134e-05"
"11","1.448438978240303e-04","1.391083254493850e-04"
"12","2.514667250437829e-04","2.524080560420315e-04"
"13","2.067427385892116e-04","1.930152143845090e-04"
"14","1.071771217712177e-04","1.056180811808118e-04"
"15","5.908613445378151e-04","5.940126050420168e-04"
"16","3.709577114427861e-04","3.510261194029851e-04"
"17","2.287381329113924e-04","2.153085443037975e-04"
"18","4.597500000000000e-04","4.526250000000000e-04"
"19","2.972222222222222e-04","2.784595959595960e-04"
"20","5.568725099601594e-04","5.534362549800796e-04"
"21","1.082184628237260e-04","1.016604010025063e-04"
"22","4.009797297297298e-04","3.955067567567568e-04"
"23","9.632145377558223e-05","8.929957657021877e-05"
"24","1.247945768282662e-04","1.196179129005752e-04"
"25","4.263235294117647e-04","4.033823529411764e-04"
"26","7.436786296900490e-05","7.030315388798261e-05"
"27","4.816241586964222e-05","4.559865391427560e-05"
"28","1.004222378606615e-04","9.640218156228009e-05"
"29","9.150215916101173e-05","8.670573719925972e-05"
"30","9.997242647058823e-05","9.484375000000000e-05"
"31","1.531170886075949e-03","1.569145569620253e-03"
"32","5.045742753623189e-04","5.282608695652175e-04"
"33","1.164600000000000e-03","1.104300000000000e-03"
"34","1.622847147470398e-04","1.527583423035522e-04"
"35","4.670284431137725e-04","4.565119760479042e-04"
"36","5.335106382978723e-04","5.048758865248227e-04"
"37","2.064001501501501e-04","1.890015015015015e-04"
"38","4.358280254777070e-04","4.216162420382165e-04"
"39","8.554505813953489e-04","8.795784883720930e-04"
"40","1.311749769159742e-04","1.335064635272392e-04"
"41","1.006101938262742e-04","9.991026561378320e-05"
"42","1.103278041074249e-04","1.116706161137441e-04"
"43","4.135474860335195e-04","3.978351955307262e-04"
"44","9.798451151707704e-05","1.007644956314535e-04"
"45","1.506052371541502e-04","1.457756916996047e-04"
"46","2.238312202852615e-04","2.191164817749604e-04"
"47","2.050203527815468e-04","1.918588873812754e-04"
"48","1.010818120351589e-04","9.958586883029073e-05"
"49","6.482378854625551e-04","6.395925110132158e-04"
"50","3.398348519362187e-04","3.270216400911162e-04"
"51","2.824801192842942e-04","2.648608349900597e-04"
"52","3.794181034482758e-04","3.829022988505747e-04"
"53","2.639761904761905e-04","2.530714285714286e-04"
"54","5.584645669291339e-04","5.375000000000000e-04"
"55","1.310455010224949e-04","1.250000000000000e-04"
"56","3.391721491228070e-04","3.251644736842105e-04"
"57","9.580909090909091e-05","9.038181818181818e-05"
"58","1.149236641221374e-04","1.113358778625954e-04"
"59","4.893211920529801e-04","4.615894039735099e-04"
"60","6.570654849827672e-05","6.265386509108813e-05"
"61","4.987800300300300e-05","4.633539789789790e-05"
"62","8.378759398496241e-05","8.092888471177946e-05"
"63","9.705387205387206e-05","9.433501683501684e-05"
"64","1.373000000000000e-04","1.333625000000000e-04"
"65","1.274761904761905e-03","1.258809523809524e-03"
"66","5.051079734219269e-04","5.088039867109635e-04"
"67","1.435416666666667e-03","1.347395833333333e-03"
"68","1.447492552135054e-04","1.345705064548163e-04"
